Location,Household Type,TimeFrame,DataFormat,Data,Fips
University Heights,All Households,2022,Dollars,33274.26526,205
University Heights,Families,2022,Dollars,39941.78473,205
University Heights,Families with Children,2022,Dollars,32969.02535,205
University Heights,Families without Children,2022,Dollars,47967.31035,205
Upper East Side,All Households,2022,Dollars,148515.82959,108
Upper East Side,Families,2022,Dollars,254380.09155,108
Upper East Side,Families with Children,2022,Dollars,259557.74954,108
Upper East Side,Families without Children,2022,Dollars,237948.00954,108
Upper West Side,All Households,2022,Dollars,145617.08865,107
Upper West Side,Families,2022,Dollars,219991.80443,107
Upper West Side,Families with Children,2022,Dollars,259557.74954,107
Upper West Side,Families without Children,2022,Dollars,182114.02293,107
Washington Heights,All Households,2022,Dollars,62187.96033,112
Washington Heights,Families,2022,Dollars,80135.85959,112
Washington Heights,Families with Children,2022,Dollars,82399.20317,112
Washington Heights,Families without Children,2022,Dollars,79211.834,112
Williamsbridge,All Households,2022,Dollars,62795.32546,212
